Voornaam,Achternaam,Opleidingsniveau,Onderwerpen
Bart,van Haspengouw,Master,"['Artificial Intelligence', 'Ethical Hacking', 'Software Architecture', 'Creative Digital Innovation']"
Matthijs,Verbeek,PhD,"['Ethical Hacking', 'Artificial Intelligence']"
Noëlle,Jorlink,Master,"['Data Science', 'Creative Digital Innovation']"
Aya,Horrocks,Bachelor,"['Artificial Intelligence', 'Ethical Hacking']"
Ceylin,Beourgeois,Bachelor,"['Ethical Hacking', 'Artificial Intelligence', 'Software Architecture', 'Design Science Research']"
Jill,van de Velden,PhD,"['Software Architecture', 'Business Process Analytics', 'Creative Digital Innovation']"
Hailey,Coenen,PhD,"['Software Architecture', 'Data Visualisation', 'Creative Digital Innovation', 'Business Change and Innovation']"
Lize,van der Schuijt,Bachelor,"['Data Science', 'Software Architecture', 'Design Science Research']"
Chloé,van Oostendorp,PhD,"['Business Change and Innovation', 'Artificial Intelligence', 'Design Science Research']"
Loes,Ramaker,Bachelor,"['Business Process Analytics', 'Creative Digital Innovation', 'Ethical Hacking']"
Renske,Jonker,Bachelor,"['Creative Digital Innovation', 'Data Visualisation', 'Data Science']"
Lois,van Baalen,Bachelor,"['Business Process Analytics', 'Software Architecture', 'Business Change and Innovation']"
Jayda,Mulders,Bachelor,"['Ethical Hacking', 'Design Science Research', 'Data Visualisation', 'Data Science']"
Dewi,Langevoort,PhD,"['Data Visualisation', 'Data Science']"
Maarten,Walsteijn,Master,"['Software Architecture', 'Business Process Analytics']"
Jason,Driessen,Bachelor,"['Design Science Research', 'Software Architecture', 'Ethical Hacking']"
Alicia,de Vries,Master,"['Design Science Research', 'Business Change and Innovation']"
Mats,de Vroege,Master,"['Ethical Hacking', 'Business Change and Innovation']"
Jens,Lieshout,Master,"['Business Change and Innovation', 'Ethical Hacking']"
Vigo,van 't Wel,Bachelor,"['Artificial Intelligence', 'Software Architecture']"
Noah,Niermann,Master,"['Design Science Research', 'Creative Digital Innovation', 'Business Change and Innovation']"
Marijn,Bertho,PhD,"['Ethical Hacking', 'Design Science Research', 'Data Visualisation', 'Business Process Analytics']"
Abel,de Gratie,PhD,"['Artificial Intelligence', 'Software Architecture']"
Gijs,Krabbe,PhD,"['Artificial Intelligence', 'Design Science Research', 'Creative Digital Innovation', 'Ethical Hacking']"
Lot,Bave,Master,"['Data Visualisation', 'Business Process Analytics', 'Software Architecture', 'Artificial Intelligence']"
Senna,van den Eerenbeemt,Master,"['Business Process Analytics', 'Artificial Intelligence', 'Design Science Research']"
Jip,Heribert van Laon,Master,"['Creative Digital Innovation', 'Artificial Intelligence']"
Isabel,van Liendert,Master,"['Creative Digital Innovation', 'Business Change and Innovation', 'Data Science']"
Stella,Wolfswinkel,Master,"['Ethical Hacking', 'Software Architecture', 'Data Science']"
Kick,van Limburg,Bachelor,"['Business Change and Innovation', 'Data Visualisation']"
Benjamin,Versluijs,Master,"['Business Change and Innovation', 'Data Science', 'Data Visualisation']"
Beau,van Spreuwel,Master,"['Data Visualisation', 'Software Architecture']"
Luka,Sanders,PhD,"['Business Process Analytics', 'Business Change and Innovation', 'Data Science']"
Nikki,van de Wiel,PhD,"['Data Science', 'Creative Digital Innovation', 'Business Process Analytics', 'Design Science Research']"
Isa,Maas,Master,"['Creative Digital Innovation', 'Design Science Research', 'Business Change and Innovation']"
Maxim,"West-Francië, van",Bachelor,"['Ethical Hacking', 'Software Architecture']"
Hugo,Stoffel,PhD,"['Data Visualisation', 'Artificial Intelligence', 'Data Science', 'Creative Digital Innovation']"
Vince,Geertsen,PhD,"['Artificial Intelligence', 'Software Architecture', 'Design Science Research']"
Mick,Verschut,Bachelor,"['Creative Digital Innovation', 'Data Visualisation', 'Business Process Analytics', 'Design Science Research']"
Seth,de Vos,Master,"['Business Change and Innovation', 'Creative Digital Innovation']"
Jake,Adelaar,Master,"['Design Science Research', 'Data Visualisation']"
Roos,van Ginkel,Master,"['Data Science', 'Business Process Analytics', 'Software Architecture']"
Tobias,Gerritsen,Bachelor,"['Design Science Research', 'Business Change and Innovation', 'Artificial Intelligence']"
Amélie,Garret,PhD,"['Artificial Intelligence', 'Creative Digital Innovation']"
Chloë,van der Klein,Master,"['Creative Digital Innovation', 'Artificial Intelligence']"
Sjoerd,Carnotte,Bachelor,"['Data Science', 'Data Visualisation', 'Creative Digital Innovation', 'Business Change and Innovation']"
Elif,Steinmeiern,Master,"['Business Process Analytics', 'Software Architecture', 'Ethical Hacking']"
Niek,Pons,Master,"['Data Science', 'Design Science Research', 'Business Process Analytics', 'Creative Digital Innovation']"
Linde,Hollander,PhD,"['Business Process Analytics', 'Business Change and Innovation']"
Kevin,Osterhoudt,Master,"['Creative Digital Innovation', 'Design Science Research', 'Business Process Analytics', 'Business Change and Innovation']"
Benjamin,van der Flaas,PhD,"['Artificial Intelligence', 'Creative Digital Innovation', 'Data Science']"
Luna,le Gulcher,Master,"['Design Science Research', 'Ethical Hacking']"
Quinty,van Enschot,PhD,"['Creative Digital Innovation', 'Software Architecture', 'Artificial Intelligence']"
Tyler,Tamsma,PhD,"['Data Visualisation', 'Software Architecture']"
Adriana,Schelvis,Master,"['Ethical Hacking', 'Creative Digital Innovation', 'Artificial Intelligence', 'Software Architecture']"
Felix,van der Pol,Bachelor,"['Ethical Hacking', 'Software Architecture']"
Livia,van Luyssel,Bachelor,"['Data Science', 'Design Science Research', 'Software Architecture', 'Artificial Intelligence']"
Jill,Jans,Master,"['Software Architecture', 'Ethical Hacking', 'Creative Digital Innovation', 'Data Visualisation']"
Ivan,den Teuling,Master,"['Creative Digital Innovation', 'Business Process Analytics', 'Data Visualisation', 'Data Science']"
Loïs,Huijbrechts,Master,"['Creative Digital Innovation', 'Ethical Hacking', 'Data Visualisation', 'Data Science']"
Myrthe,Rijks,PhD,"['Data Science', 'Artificial Intelligence', 'Software Architecture', 'Data Visualisation']"
Yinthe,van Dagsburg,Master,"['Ethical Hacking', 'Artificial Intelligence']"
Amin,de Vrome,Bachelor,"['Ethical Hacking', 'Data Science', 'Creative Digital Innovation', 'Business Process Analytics']"
